url|station|year|error
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00466163&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00466163|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00466140&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00466140|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00465970&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00465970|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00465705&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00465705|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00465672&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00465672|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00465621&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00465621|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00465445&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00465445|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00465440&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00465440|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00465045&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00465045|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00465030&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00465030|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00464897&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00464897|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00464378&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00464378|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00464378&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00464378|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00464230&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00464230|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00464170&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00464170|2020|
https://www.ncdc.noaa.gov/cdo-web/api/v2/data?datasetid=GHCND&limit=1000&stationid=GHCND:USC00464085&units=standard&startdate=2020-01-01&enddate=2020-12-31&includemetadata=True|USC00464085|2020|
